mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,45.0,45,102.1787,0.002120,0.014483,0.055257,1.669048,0.088630,0.245509,1.669048,0.075424,2.390349,3.395039,0.000000
iterative,,90.0,90,199.9087,0.008888,0.027580,0.112915,1.013969,0.052300,0.214334,0.765251,0.018098,0.235801,0.311826,0.000000
from_init,,45.0,1,3.0134,0.002316,0.012576,0.055256,1.495021,0.067494,0.157825,1.495021,0.029538,0.545392,0.810688,0.000000
from_init,,90.0,1,2.9348,0.009519,0.024930,0.114885,3.443158,0.128814,0.309215,3.443158,0.065593,1.077710,1.493042,0.000000
