mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,45.0,45,16.2060,0.002131,0.009985,0.040782,0.223796,0.008585,0.026516,0.038850,0.010645,0.237248,0.508430,0.000000
iterative,,90.0,90,32.9497,0.011590,0.019729,0.083980,0.459531,0.009691,0.040312,0.085814,0.015431,0.367585,1.182486,0.000000
from_init,,45.0,1,0.5061,0.006895,0.019063,0.078400,0.335782,0.053865,0.156960,0.208150,0.045594,0.909909,2.488830,0.000000
from_init,,90.0,1,0.4819,0.029770,0.032536,0.136542,0.754064,0.107736,0.303268,0.458558,0.112514,2.301872,6.883120,0.000000
