mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,45.0,45,4.1572,0.003922,0.009779,0.044355,0.547793,0.014163,0.043505,0.527591,0.009042,0.233091,1.221824,0.000000
iterative,,90.0,90,8.1916,0.020946,0.021103,0.094524,1.129480,0.026553,0.074413,1.129480,0.020417,0.476406,4.298848,0.000000
from_init,,45.0,1,0.1551,0.009333,0.014963,0.062444,0.900856,0.027976,0.074661,0.380568,0.076465,1.702756,14.951350,0.000000
from_init,,90.0,1,0.1188,0.043420,0.032148,0.136581,2.183383,0.070888,0.188769,1.261585,0.375054,10.199335,50.938663,0.000000
