mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,45.0,45,0.5341,0.039600,0.022741,0.110882,0.238024,0.053055,0.172733,0.238024,0.047799,1.172159,25.761578,0.000000
iterative,,90.0,90,0.9467,0.205738,0.052960,0.297662,0.577992,0.128853,0.418913,0.577992,0.115909,3.222971,48.835785,0.000000
from_init,,45.0,1,0.0294,0.039760,0.022438,0.111985,0.238024,0.052776,0.172282,0.238024,0.047437,1.162909,25.536991,0.000000
from_init,,90.0,1,0.0146,0.206898,0.052385,0.300786,0.577992,0.128291,0.418913,0.577992,0.114710,3.189979,48.404629,0.000000
