mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
progressive,_N4,110.0,4,0.3880,0.055565,0.020677,0.113310,0.805093,0.084668,0.209093,0.470446,0.060392,1.442568,16.690626,0.000000
progressive,_N4,135.0,4,0.3912,0.080820,0.024403,0.141849,0.816746,0.104175,0.257927,0.591366,0.076887,1.828386,21.091940,0.000000
progressive,_N8,5.0,8,0.8048,0.000069,0.000782,0.003593,0.036483,0.002476,0.006983,0.015569,0.001699,0.039802,0.625196,0.000000
progressive,_N8,10.0,8,0.7499,0.000283,0.001572,0.007195,0.075291,0.004996,0.013907,0.031817,0.003443,0.079877,1.271705,0.000000
progressive,_N8,15.0,8,0.7460,0.000653,0.002372,0.010922,0.116239,0.007562,0.020650,0.048693,0.005249,0.120956,1.926643,0.000000
progressive,_N8,22.0,8,0.7473,0.001454,0.003509,0.016081,0.176737,0.011279,0.030569,0.073247,0.007866,0.180617,2.851287,0.000000
progressive,_N8,30.0,8,0.7498,0.002809,0.004835,0.022188,0.249534,0.015722,0.045400,0.102373,0.010965,0.248146,3.914013,0.000000
progressive,_N8,45.0,8,0.7498,0.006724,0.007351,0.034022,0.391302,0.024480,0.069054,0.158632,0.017038,0.386325,5.909511,0.000000
progressive,_N8,60.0,8,0.7489,0.012520,0.009830,0.046863,0.525665,0.033575,0.091057,0.216155,0.023338,0.525200,7.886345,0.000000
progressive,_N8,75.0,8,0.7486,0.020156,0.012179,0.060778,0.620124,0.042610,0.111670,0.284127,0.029803,0.665855,9.817015,0.000000
progressive,_N8,90.0,8,0.7501,0.029440,0.014421,0.072087,0.709908,0.051409,0.135117,0.353640,0.036460,0.817866,11.677027,0.000000
progressive,_N8,110.0,8,0.7484,0.043877,0.017364,0.087359,0.882265,0.062807,0.174114,0.443949,0.045650,1.042389,14.019823,0.000000
progressive,_N8,135.0,8,0.7494,0.063891,0.020818,0.108335,0.849921,0.076712,0.221239,0.541102,0.057309,1.331136,16.718260,0.000000
