mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,45.0,45,0.8593,0.020845,0.020545,0.096835,0.274605,0.074769,0.193290,0.274605,0.020418,0.528972,6.567485,0.000000
iterative,,90.0,90,1.6620,0.107268,0.047415,0.261041,0.630469,0.201218,0.459064,0.630469,0.131989,1.969658,42.465363,0.000000
from_init,,45.0,1,0.0568,0.020741,0.019617,0.098681,0.269620,0.075709,0.190911,0.269620,0.021092,0.534073,7.216802,0.000000
from_init,,90.0,1,0.0268,0.107616,0.045611,0.260099,0.629112,0.203586,0.469994,0.629112,0.133913,2.102845,42.418278,0.000000
