mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
progressive,_N4,110.0,4,0.3875,0.026627,0.018005,0.077191,0.630532,0.063514,0.200516,0.476766,0.155841,4.014929,36.865841,0.000000
progressive,_N4,135.0,4,0.3877,0.037772,0.019900,0.088359,0.598930,0.075655,0.227809,0.518241,0.211093,5.429743,49.421955,0.000000
progressive,_N8,5.0,8,0.7946,0.000048,0.000895,0.004280,0.028543,0.002677,0.008593,0.023398,0.003474,0.097282,1.192723,0.000000
progressive,_N8,10.0,8,0.7440,0.000190,0.001782,0.008426,0.058543,0.005306,0.016948,0.045178,0.007072,0.195293,2.403723,0.000000
progressive,_N8,15.0,8,0.7426,0.000427,0.002665,0.012521,0.089769,0.007890,0.025058,0.065838,0.010762,0.295968,3.612141,0.000000
progressive,_N8,22.0,8,0.7457,0.000914,0.003888,0.018001,0.135055,0.011429,0.036466,0.096048,0.016348,0.434283,5.296431,0.000000
progressive,_N8,30.0,8,0.7461,0.001691,0.005260,0.024160,0.188049,0.015357,0.050201,0.129662,0.023411,0.606601,7.213513,0.000000
progressive,_N8,45.0,8,0.7439,0.003753,0.007715,0.035145,0.285221,0.022408,0.076609,0.189090,0.038022,0.970019,10.804505,0.000000
progressive,_N8,60.0,8,0.7448,0.006554,0.009952,0.045087,0.365904,0.029106,0.098152,0.242635,0.054221,1.414230,14.428529,0.000000
progressive,_N8,75.0,8,0.7448,0.010035,0.011933,0.053038,0.408092,0.035460,0.117297,0.289250,0.071857,1.861639,18.131994,0.000000
progressive,_N8,90.0,8,0.7450,0.014171,0.013616,0.058822,0.476888,0.041512,0.133689,0.328180,0.091010,2.347751,22.424610,0.000000
progressive,_N8,110.0,8,0.7441,0.020792,0.015465,0.065701,0.538484,0.049000,0.147866,0.367636,0.119280,3.070431,28.971991,0.000000
progressive,_N8,135.0,8,0.7456,0.031340,0.017787,0.076301,0.561048,0.058600,0.174526,0.398333,0.160608,4.119661,38.556965,0.000000
