mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
progressive,_N4,110.0,4,0.3910,0.050550,0.036077,0.170463,2.517462,0.072829,0.175214,1.702794,0.318185,8.949794,41.343243,0.000000
progressive,_N4,135.0,4,0.3896,0.073434,0.042971,0.199817,2.917275,0.079842,0.207318,2.023851,0.453024,11.390669,69.735260,0.000000
progressive,_N8,5.0,8,0.7817,0.000051,0.001040,0.004273,0.041609,0.001441,0.004046,0.018807,0.003242,0.082724,0.556002,0.000000
progressive,_N8,10.0,8,0.7736,0.000211,0.002111,0.008888,0.092982,0.003092,0.008237,0.046050,0.006640,0.166362,1.344880,0.000000
progressive,_N8,15.0,8,0.7536,0.000488,0.003226,0.013750,0.153799,0.004946,0.012807,0.081056,0.010251,0.249690,2.186036,0.000000
progressive,_N8,22.0,8,0.7544,0.001091,0.004883,0.020932,0.253965,0.007866,0.019834,0.143100,0.015590,0.352152,3.367260,0.000000
progressive,_N8,30.0,8,0.7542,0.002126,0.006928,0.029833,0.388435,0.011657,0.029461,0.232013,0.021988,0.469108,4.687443,0.000000
progressive,_N8,45.0,8,0.7546,0.005215,0.011176,0.048626,0.690767,0.019844,0.048162,0.445925,0.034252,0.743278,7.036561,0.000000
progressive,_N8,60.0,8,0.7518,0.010030,0.015851,0.070156,1.043303,0.028882,0.069345,0.707225,0.046608,1.030357,9.207144,0.000000
progressive,_N8,75.0,8,0.7531,0.016671,0.020807,0.097332,1.421625,0.037952,0.090514,0.989715,0.059097,1.303530,11.204373,0.000000
progressive,_N8,90.0,8,0.7533,0.024875,0.025815,0.118629,1.790848,0.045772,0.107573,1.254949,0.071704,1.586467,13.054399,0.000000
progressive,_N8,110.0,8,0.7570,0.036903,0.031512,0.146713,2.184252,0.051741,0.116617,1.493304,0.288236,8.434340,38.534901,0.000000
progressive,_N8,135.0,8,0.7581,0.050592,0.035480,0.160815,2.344395,0.049533,0.111863,1.455326,0.309147,7.282706,56.282143,0.000000
